|        in        | sel |regis|loa|       out        |
| 0000000000000001 | 000 | 000 | 1 | 0000000000000000 |
| 0000000000000011 | 000 | 001 | 1 | 0000000000000000 |
| 0000000000000111 | 000 | 010 | 1 | 0000000000000000 |
| 0000000000001111 | 000 | 011 | 1 | 0000000000000000 |
| 0000000000011111 | 000 | 100 | 1 | 0000000000000000 |
| 0000000000011111 | 000 | 000 | 0 | 0000000000000000 |
| 0000000000011111 | 000 | 001 | 0 | 0000000000000000 |
| 0000000000011111 | 000 | 010 | 0 | 0000000000000000 |
| 0000000000011111 | 000 | 011 | 0 | 0000000000000000 |
| 0000000000011111 | 000 | 100 | 0 | 0000000000000000 |
